time,speed,result
11:50,31,fail
11:51,34,fail
11:52,29,success
11:53,33,fail
11:54,30,fail
11:55,35,success
11:56,27,fail
11:57,32,fail
11:58,36,success
11:59,28,fail
12:00,31,fail
12:01,33,success
12:02,30,fail
12:03,34,fail
12:04,29,success
12:05,27,fail
12:06,35,fail
12:07,32,success
12:08,36,fail
12:09,30,fail
12:10,31,success
12:11,33,fail
12:12,28,fail
12:13,34,success
12:14,29,fail
12:15,27,fail
12:16,35,success
12:17,32,fail
12:18,36,fail
12:19,30,success
12:20,31,fail
12:21,33,fail
12:22,28,success
12:23,34,fail
12:24,29,fail
12:25,27,success
12:26,35,fail
12:27,32,fail
12:28,36,success
12:29,30,fail
12:30,31,fail
12:31,33,success
12:32,28,fail
12:33,34,fail
12:34,29,success
12:35,27,fail
12:36,35,fail
12:37,32,success
12:38,36,fail
12:39,30,fail
